Id,SalePrice
1461,126447.33627656923
1462,163527.46668213638
1463,181671.56475097785
1464,191337.42607469767
1465,193292.9794377809
1466,176147.55261727152
1467,175827.14502024758
1468,168415.3871891974
1469,176314.23928864553
1470,122384.07774378051
1471,198027.18853888594
1472,91210.64513518107
1473,101285.42685241962
1474,148490.25158457577
1475,134833.63080759457
1476,389488.37965785206
1477,254996.09756882407
1478,297344.9707643967
1479,253801.21343074783
1480,458667.29399916565
1481,312650.07341583824
1482,205174.46504655093
1483,170038.27501590186
1484,166687.72752909132
1485,171270.56829338748
1486,194172.55028518647
1487,375542.71690261865
1488,233482.85172279156
1489,215823.18912415428
1490,194937.0575328001
1491,191231.73452356103
1492,87315.27656868804
1493,169417.6368842226
1494,275548.68683914084
1495,284366.1092262944
1496,223238.858819761
1497,195255.72651661088
1498,154750.76842911122
1499,156440.3934133642
1500,153958.2104681231
1501,177115.6417037361
1502,164044.83953592597
1503,308697.1192786591
1504,236754.6864257498
1505,221132.27227885035
1506,185949.19096956364
1507,238625.8604839997
1508,201155.03840284605
1509,166052.39320528207
1510,145480.37205867496
1511,143031.2450838994
1512,169326.89449704127
1513,149145.5445063127
1514,164743.33581935155
1515,182458.9900412524
1516,160182.26151219883
1517,165299.50867432496
1518,123188.53531325323
1519,222238.85313605165
1520,128983.77852717266
1521,139787.96818712007
1522,175846.56768109644
1523,105355.21033605692
1524,120439.23920052437
1525,121592.92798797942
1526,121925.30439761712
1527,110570.19468068633
1528,127886.0120194049
1529,138069.3286130235
1530,175077.29829894705
1531,120203.82507562889
1532,100349.7082136292
1533,141854.4906012371
1534,117607.77398382702
1535,159839.81607250587
1536,115451.34726396466
1537,86650.11054105045
1538,179529.7857584689
1539,213670.0399571916
1540,96773.51683194448
1541,141461.28425202688
1542,143469.18781308626
1543,223103.02281321224
1544,81901.13665827083
1545,108846.23642743933
1546,126684.0976967404
1547,135698.04010798654
1548,134448.82912531454
1549,122902.93997919721
1550,144012.68344396708
1551,109282.47424724152
1552,140497.4274065479
1553,151351.73985006113
1554,111712.64617940334
1555,177075.2600956475
1556,89329.2686470615
1557,113357.48803503065
1558,92800.72267501423
1559,97951.83077258027
1560,149692.8512123579
1561,153350.53919730804
1562,125569.18869019671
1563,118756.48252380916
1564,155585.7709474408
1565,155644.8104655909
1566,219681.2403689882
1567,73847.48860570719
1568,236307.01687460224
1569,135031.46639499874
1570,140430.80205179667
1571,126611.37824192032
1572,144424.39064100749
1573,261817.8730563885
1574,100067.93518286657
1575,201938.741961111
1576,212764.41794523565
1577,209872.69192944694
1578,143419.91589538968
1579,149587.66067904717
1580,194434.3064306274
1581,144651.48624671687
1582,126450.0723571067
1583,329727.3038793773
1584,239258.38458103547
1585,140016.4573929971
1586,75592.26340513787
1587,104449.59974652599
1588,156682.72212483227
1589,100901.86607958037
1590,132542.90299167045
1591,99772.6658495183
1592,117830.55261192133
1593,123923.41639619645
1594,147472.3552339695
1595,115579.15459795087
1596,226228.3239547641
1597,171166.97047485816
1598,200096.6784070344
1599,202522.47212087776
1600,178092.57638357452
1601,72190.96396890309
1602,113484.058649801
1603,92098.73527921544
1604,273725.0291352015
1605,247069.54370887132
1606,173046.980656621
1607,150977.26652499937
1608,219269.9908832341
1609,193823.13104854707
1610,158685.07289026005
1611,146624.0773805477
1612,155511.9904570262
1613,163689.20815740208
1614,118440.22449327915
1615,86267.67752925411
1616,77223.83152486086
1617,92745.34520215614
1618,124191.91031491858
1619,141654.1443525801
1620,153291.12142804847
1621,140379.4674299835
1622,140628.13693998134
1623,304223.5949214972
1624,218777.07749883895
1625,119709.49491277344
1626,163516.2289374572
1627,185107.61124464512
1628,265404.52510771574
1629,181556.88318356592
1630,393815.434537955
1631,220601.28904131855
1632,242338.79555459588
1633,170858.6648023754
1634,184850.38915477175
1635,182905.6174876478
1636,156814.590026159
1637,180853.8267988312
1638,187622.76073314686
1639,176508.81862067126
1640,263555.4290627626
1641,179309.17897816212
1642,224435.7434218435
1643,222710.02551757856
1644,229133.63734459446
1645,196413.155100389
1646,153780.98425095394
1647,155297.45300319043
1648,127762.40859779087
1649,135452.10173812692
1650,115059.23846264012
1651,120696.6278388754
1652,91415.69357555447
1653,97166.3681471813
1654,156878.21452487746
1655,152715.14311922694
1656,149843.0382859864
1657,157446.98280611009
1658,149646.4028005719
1659,140021.22028425685
1660,152062.30142861005
1661,426394.75426240155
1662,421698.8414354932
1663,380070.37367833505
1664,422745.2536968244
1665,324599.63958239136
1666,335066.9687716426
1667,390267.1771008856
1668,331288.4675998538
1669,301562.08310236223
1670,341805.4706173986
1671,263378.4974336875
1672,463716.7822838337
1673,295221.19108562387
1674,246165.79067273476
1675,181194.20136265556
1676,176230.43537249448
1677,219788.6269697575
1678,411563.21321644285
1679,410570.078556111
1680,346966.3046669425
1681,277347.22383394587
1682,283153.0939548384
1683,176122.9204313218
1684,167190.00076480926
1685,172629.32245635582
1686,168780.93998132352
1687,164240.04754944608
1688,187356.67223311777
1689,192949.97239691982
1690,184104.58946721148
1691,177598.00534236457
1692,269731.0984544183
1693,164225.97561610737
1694,182958.31819518606
1695,164721.9516737752
1696,268868.0925731876
1697,167590.7587249275
1698,353699.7027639235
1699,337632.44532126124
1700,242496.24844484194
1701,262064.8240776491
1702,263786.0006483817
1703,251313.03618448018
1704,300529.3282662321
1705,237016.0265597378
1706,422876.6677343922
1707,229120.44415492995
1708,219814.40456309842
1709,293035.3072555589
1710,224330.75239873154
1711,264769.58435177786
1712,235796.20391087164
1713,259831.18163036116
1714,220553.89879963963
1715,209197.44476139633
1716,186732.7743660014
1717,159541.1583558131
1718,137895.88588536467
1719,210535.6587089773
1720,244478.67034484856
1721,158675.69911578225
1722,118602.71101001085
1723,154061.72574102873
